[ 0.97360242]	58
[ 1.07784487]	59
[ 1.10576207]	59
[ 1.00475362]	60
[ 1.20967082]	70
[ 0.90483484]	63
[ 1.07017326]	68
[ 1.04851166]	65
[ 0.8649311]	63
[ 0.99955633]	73
[ 1.21719021]	68
[ 1.10002866]	73
[ 1.27512123]	68
[ 0.96995181]	67
[ 0.99555759]	68
[ 0.86201548]	57
[ 0.9435289]	94
[ 0.94645763]	56
[ 1.08730209]	60
[ 1.07078046]	55
[ 0.95969565]	57
[ 1.01392483]	40
[ 1.05403513]	47
[ 1.04977885]	52
[ 1.05970741]	55
[ 1.16348414]	53
[ 1.14722675]	37
[ 1.3541714]	34
[ 0.9804229]	42
[ 1.32505488]	54
[ 1.20383028]	58
[ 1.24596867]	30
[ 0.761358]	36
[ 1.19332539]	31
[ 0.86836289]	47
[ 1.01518851]	65
[ 1.142296]	77
[ 1.02335363]	58
[ 1.143339]	90
[ 0.95000289]	83
[ 0.78732052]	97
[ 0.9998404]	75
[ 1.02162932]	81
[ 0.91675374]	72
[ 0.88916687]	84
[ 0.99476414]	83
[ 1.10981427]	71
[ 0.97372354]	75
[ 1.08115172]	49
[ 0.95344533]	83
[ 1.08982275]	55
[ 1.04689858]	51
[ 1.16922107]	60
[ 1.04325489]	51
[ 1.05253747]	59
[ 0.95033407]	43
[ 1.05789608]	72
[ 1.03908559]	60
[ 1.25238771]	51
[ 0.9136377]	56
[ 1.33339171]	34
[ 1.01403736]	38
[ 0.99834397]	24
[ 0.91553482]	8
[ 0.74598954]	15
[ 0.77834943]	17
[ 1.04205656]	51
[ 1.1521571]	50
[ 1.08223714]	62
[ 1.08858716]	86
[ 1.23030367]	84
[ 1.339592]	84
[ 1.05780045]	106
[ 1.12924772]	77
[ 1.12829911]	95
[ 1.11394578]	103
[ 1.32668712]	108
[ 0.95605664]	82
[ 1.04217554]	87
[ 0.5838426]	70
[ 0.54363901]	55
[ 0.88467703]	54
[ 1.03170137]	75
[ 0.66831979]	67
[ 1.05319279]	60
[ 1.10811101]	61
[ 0.52602404]	47
[ 0.63196952]	41
[ 0.64025333]	47
[ 0.83456985]	55
[ 0.68339002]	47
[ 0.64150247]	32
[ 0.63765473]	30
[ 0.9199752]	44
[ 0.62523757]	16
[ 0.64446335]	4
[ 0.5488417]	10
[ 0.73553827]	18
[ 0.93315584]	31
[ 1.08218754]	38
[ 0.97305003]	54
[ 1.32088596]	68
[ 0.76860132]	95
[ 0.81579226]	108
[ 0.9490253]	99
[ 0.91438863]	94
[ 1.02651694]	115
[ 0.72508366]	84
[ 1.00294055]	88
[ 0.95071326]	94
[ 0.69264533]	78
[ 0.75440583]	78
[ 1.03172687]	79
[ 0.48046929]	50
[ 1.0666334]	70
[ 0.71080498]	53
[ 1.31564985]	63
[ 0.82251077]	55
[ 1.03718875]	55
[ 0.64994522]	37
[ 0.87019536]	55
[ 0.66015613]	45
[ 0.58024945]	36
[ 1.28511237]	47
[ 1.21191829]	39
[ 0.81722883]	30
[ 0.90983437]	16
[ 0.60715345]	6
[ 0.64819505]	10
[ 1.04181655]	22
[ 0.77494929]	42
[ 0.93042436]	50
[ 1.08517218]	54
[ 0.96116655]	60
[ 1.08540205]	109
[ 1.14428093]	100
[ 1.08262886]	144
[ 1.14828166]	100
[ 1.04703218]	90
[ 1.10140566]	71
[ 1.21984073]	56
[ 1.10731229]	131
[ 1.07800539]	73
[ 1.10667826]	76
[ 1.12331671]	55
[ 0.97788869]	37
[ 1.12557216]	52
[ 1.03054836]	58
[ 1.01547085]	43
[ 1.01191065]	63
[ 1.01062052]	64
[ 0.9484276]	68
[ 0.80506338]	40
[ 0.78780663]	41
[ 1.03874296]	40
[ 0.76166632]	31
[ 1.12643858]	63
[ 1.42057857]	26
[ 0.97228015]	21
[ 1.31919951]	7
[ 1.17978485]	28
[ 1.0799744]	35
[ 1.05255421]	52
[ 0.73676846]	36
[ 0.98598785]	103
[ 1.07632774]	74
[ 1.05000781]	139
[ 0.96115987]	55
[ 1.07511114]	91
[ 0.98303889]	125
[ 1.00192717]	68
[ 0.9694751]	51
[ 0.98338916]	59
[ 1.15549913]	80
[ 1.15139433]	73
[ 1.48289914]	56
[ 1.11920747]	74
[ 1.11675198]	21
[ 1.04580657]	24
[ 0.86058166]	20
[ 1.01254354]	64
[ 1.02747621]	34
[ 1.16814473]	97
[ 0.86552114]	24
[ 1.10261972]	62
[ 0.99231324]	66
[ 0.95329445]	32
[ 1.27956469]	29
[ 1.2588496]	54
[ 1.07490559]	36
[ 0.99611703]	27
[ 0.9977384]	24
[ 1.00743098]	51
[ 0.97539759]	63
[ 1.04206438]	62
[ 0.85605184]	53
[ 1.0393613]	77
[ 1.00453511]	74
[ 1.10129523]	77
[ 1.11038814]	63
[ 1.06922999]	76
[ 1.10296885]	68
[ 0.83803456]	63
[ 0.90143482]	61
[ 1.14693089]	59
[ 0.94148875]	40
[ 0.92210103]	52
[ 1.0127704]	53
[ 1.05091908]	38
[ 1.15717706]	42
[ 1.00678348]	33
[ 0.85760429]	36
[ 1.00599285]	34
[ 1.13009805]	42
[ 1.04461314]	37
[ 0.87688918]	49
[ 1.03573419]	42
[ 1.12671126]	40
[ 0.85617627]	43
[ 1.28192558]	47
[ 1.00175931]	35
[ 0.99846643]	52
[ 1.09824356]	42
[ 1.04754853]	49
[ 1.07738524]	56
[ 0.93624083]	42
[ 0.96494949]	62
[ 1.11575625]	57
[ 1.16742358]	55
[ 0.98415941]	53
[ 1.0117473]	48
[ 1.11108443]	51
[ 1.02799028]	61
[ 1.02070217]	51
[ 1.14935748]	42
[ 1.04699105]	47
[ 0.99252826]	43
[ 0.87813768]	43
[ 1.0555679]	34
[ 0.89215081]	45
[ 0.9082497]	37
[ 1.17990581]	30
[ 1.07025914]	41
[ 0.82942694]	38
[ 0.93598628]	28
[ 1.1026782]	34
[ 1.19118994]	25
[ 0.96734032]	38
[ 1.16334458]	34
[ 0.84085454]	27
[ 0.93707823]	37
[ 0.88752043]	25
[ 0.99533085]	31
[ 1.23420748]	28
[ 1.11034976]	35
[ 1.02313447]	46
[ 0.7219702]	36
[ 1.07074719]	39
[ 0.95128688]	38
[ 1.24322802]	42
[ 1.13187353]	52
[ 1.13422145]	34
[ 1.15976295]	42
[ 1.10543063]	31
[ 1.05620723]	41
[ 1.15152425]	29
[ 1.08295895]	41
[ 0.8548783]	28
[ 1.26572299]	39
[ 0.75648717]	28
[ 0.99036061]	28
[ 1.18864164]	26
[ 0.99315701]	21
[ 1.05537963]	44
[ 0.9461551]	26
[ 1.31327523]	28
[ 1.33210807]	29
[ 1.16646007]	23
[ 1.1558218]	27
[ 1.09353058]	21
[ 1.27071227]	27
[ 0.95549358]	27
[ 1.14927888]	30
[ 1.20803905]	29
[ 1.04898809]	31
[ 0.7148886]	20
[ 0.92656874]	28
[ 1.11585932]	30
[ 1.37363984]	30
[ 0.90537137]	21
[ 1.01722792]	42
[ 0.98169982]	29
[ 1.07689265]	26
[ 1.11312839]	29
[ 0.99337102]	23
[ 0.86073822]	12
[ 0.89833175]	28
[ 0.79958821]	31
[ 0.79248344]	21
[ 1.11747204]	28
[ 1.08511108]	35
[ 1.19299287]	30
[ 1.13069743]	26
[ 0.96543151]	12
[ 1.15514875]	28
[ 1.04835126]	30
[ 1.09391299]	26
[ 1.26801033]	22
[ 1.61155203]	20
[ 1.0767942]	15
[ 1.08828579]	24
[ 0.93142168]	15
[ 0.98357467]	19
[ 0.94923116]	26
[ 1.03419768]	19
[ 1.12912546]	18
[ 1.43710461]	18
[ 1.10522829]	20
[ 0.89783447]	11
[ 1.02969431]	18
