#uplink	channel	x [mm]	y [mm]
0	0	245.25	161
0	1	228.9	161
0	2	212.55	161
0	3	196.2	161
0	4	179.85	161
0	5	163.5	161
0	6	147.15	161
0	7	130.8	161
0	8	114.45	161
0	9	98.1	161
0	10	81.75	161
0	11	65.4	161
0	12	49.05	161
0	13	32.7	161
0	14	16.35	161
0	15	0	161
0	16	245.25	138
0	17	228.9	138
0	18	212.55	138
0	19	196.2	138
0	20	179.85	138
0	21	163.5	138
0	22	147.15	138
0	23	130.8	138
0	24	114.45	138
0	25	98.1	138
0	26	81.75	138
0	27	65.4	138
0	28	49.05	138
0	29	32.7	138
0	30	16.35	138
0	31	0	138
0	32	245.25	115
0	33	228.9	115
0	34	212.55	115
0	35	196.2	115
0	36	179.85	115
0	37	163.5	115
0	38	147.15	115
0	39	130.8	115
0	40	114.45	115
0	41	98.1	115
0	42	81.75	115
0	43	65.4	115
0	44	49.05	115
0	45	32.7	115
0	46	16.35	115
0	47	0	115
0	48	245.25	92
0	49	228.9	92
0	50	212.55	92
0	51	196.2	92
0	52	179.85	92
0	53	163.5	92
0	54	147.15	92
0	55	130.8	92
0	56	114.45	92
0	57	98.1	92
0	58	81.75	92
0	59	65.4	92
0	60	49.05	92
0	61	32.7	92
0	62	16.35	92
0	63	0	92
1	0	245.25	69
1	1	228.9	69
1	2	212.55	69
1	3	196.2	69
1	4	179.85	69
1	5	163.5	69
1	6	147.15	69
1	7	130.8	69
1	8	114.45	69
1	9	98.1	69
1	10	81.75	69
1	11	65.4	69
1	12	49.05	69
1	13	32.7	69
1	14	16.35	69
1	15	0	69
1	16	245.25	46
1	17	228.9	46
1	18	212.55	46
1	19	196.2	46
1	20	179.85	46
1	21	163.5	46
1	22	147.15	46
1	23	130.8	46
1	24	114.45	46
1	25	98.1	46
1	26	81.75	46
1	27	65.4	46
1	28	49.05	46
1	29	32.7	46
1	30	16.35	46
1	31	0	46
1	32	245.25	23
1	33	228.9	23
1	34	212.55	23
1	35	196.2	23
1	36	179.85	23
1	37	163.5	23
1	38	147.15	23
1	39	130.8	23
1	40	114.45	23
1	41	98.1	23
1	42	81.75	23
1	43	65.4	23
1	44	49.05	23
1	45	32.7	23
1	46	16.35	23
1	47	0	23
1	48	245.25	0
1	49	228.9	0
1	50	212.55	0
1	51	196.2	0
1	52	179.85	0
1	53	163.5	0
1	54	147.15	0
1	55	130.8	0
1	56	114.45	0
1	57	98.1	0
1	58	81.75	0
1	59	65.4	0
1	60	49.05	0
1	61	32.7	0
1	62	16.35	0
1	63	0	0
